checkpoint,build_id,part_id,mark,label,blank_mm,operations,cut_label,material
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.front.end,P-2413C6A2,Rafter Front End,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.back.end,P-819BCC6C,Rafter Back End,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.eave.start,P-5359AB4E,Blocking Front Eave Start,"[349.4, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C28,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.ridge.start,P-BE8AE694,Blocking Front Ridge Start,"[349.4, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C28,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.back.eave.start,P-3F7D9A77,Blocking Back Eave Start,"[349.4, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C28,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.back.ridge.start,P-00B00740,Blocking Back Ridge Start,"[349.4, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C28,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.eave.at_406_4,P-C444B471,Blocking Front Eave At_406_4,"[368.4, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}, {'description': 'Cut the underside housing to clear the adjacent rafter tie.', 'kind': 'housing', 'origin_mm': [0, 0, 0], 'size_mm': [38, 38, 65.9752415750147]}]",C29,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.ridge.at_406_4,P-7952CB9B,Blocking Front Ridge At_406_4,"[368.4, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C30,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.back.eave.at_406_4,P-36D8EE95,Blocking Back Eave At_406_4,"[368.4, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}, {'description': 'Cut the underside housing to clear the adjacent rafter tie.', 'kind': 'housing', 'origin_mm': [330.4, 0, 0], 'size_mm': [38, 38, 65.9752415750147]}]",C31,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.back.ridge.at_406_4,P-8EE4C1D0,Blocking Back Ridge At_406_4,"[368.4, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C30,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.eave.at_812_8,P-868B2335,Blocking Front Eave At_812_8,"[368.39999999999986, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}, {'description': 'Cut the underside housing to clear the adjacent rafter tie.', 'kind': 'housing', 'origin_mm': [0, 0, 0], 'size_mm': [38, 38, 65.9752415750147]}]",C29,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.ridge.at_812_8,P-2C1868E8,Blocking Front Ridge At_812_8,"[368.39999999999986, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C30,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.back.eave.at_812_8,P-6CAB2CAB,Blocking Back Eave At_812_8,"[368.39999999999986, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}, {'description': 'Cut the underside housing to clear the adjacent rafter tie.', 'kind': 'housing', 'origin_mm': [330.39999999999986, 0, 0], 'size_mm': [38, 38, 65.9752415750147]}]",C31,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.back.ridge.at_812_8,P-00A3DE29,Blocking Back Ridge At_812_8,"[368.39999999999986, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C30,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.eave.at_1219_2,P-FDE4C213,Blocking Front Eave At_1219_2,"[368.4000000000001, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}, {'description': 'Cut the underside housing to clear the adjacent rafter tie.', 'kind': 'housing', 'origin_mm': [0, 0, 0], 'size_mm': [38, 38, 65.9752415750147]}]",C29,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.ridge.at_1219_2,P-AAA076F1,Blocking Front Ridge At_1219_2,"[368.4000000000001, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C30,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.back.eave.at_1219_2,P-AE9EC94B,Blocking Back Eave At_1219_2,"[368.4000000000001, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}, {'description': 'Cut the underside housing to clear the adjacent rafter tie.', 'kind': 'housing', 'origin_mm': [330.4000000000001, 0, 0], 'size_mm': [38, 38, 65.9752415750147]}]",C31,lumber.38x140
